id,date_added,priority,brand,category,website,contact_name,contact_role,contact_email,contact_form,instagram,linkedin,source,status,last_touch,next_follow_up,follow_up_count,pitch_angle,deliverable_interest,budget_range,timeline,usage_rights_requested,media_kit_sent,reply_received,deal_stage,fit_score,money_score,speed_score,priority_score,estimated_value,notes
B001,2026-06-22,P1,Ulta Beauty,Beauty,,,,,,,,,Not contacted,,,0,"Beauty by Kash. Real-life beauty routine content.",IG Reel + TikTok + Stories,,,,No,No,Prospect,5,5,3,13,,
B002,2026-06-22,P1,Sephora,Beauty,,,,,,,,,Not contacted,,,0,"Beauty by Kash. Product discovery and trusted routine content.",IG Reel + TikTok + YouTube integration,,,,No,No,Prospect,5,5,3,13,,
B003,2026-06-22,P1,Fenty Beauty,Beauty,,,,,,,,,Not contacted,,,0,"Inclusive beauty and confidence-led storytelling.",IG Reel + TikTok,,,,No,No,Prospect,5,5,3,13,,
B004,2026-06-22,P1,Rare Beauty,Beauty,,,,,,,,,Not contacted,,,0,"Confidence, beauty, and real-life self-expression.",IG Reel + Stories,,,,No,No,Prospect,5,5,3,13,,
B005,2026-06-22,P1,e.l.f. Cosmetics,Beauty,,,,,,,,,Not contacted,,,0,"Affordable beauty. Real application. High-trust creator content.",TikTok + IG Reel,,,,No,No,Prospect,5,4,4,13,,
B006,2026-06-22,P1,Mielle Organics,Hair,,,,,,,,,Not contacted,,,0,"Hair routine content with real daily-life use.",TikTok + IG Reel,,,,No,No,Prospect,5,4,4,13,,
B007,2026-06-22,P1,Pattern Beauty,Hair,,,,,,,,,Not contacted,,,0,"Hair care, confidence, and lifestyle storytelling.",IG Reel + Stories,,,,No,No,Prospect,5,4,3,12,,
B008,2026-06-22,P1,The Honest Company,Motherhood + Baby,,,,,,,,,Not contacted,,,0,"Real mom life. Baby and home routine content.",TikTok + IG Reel + Stories,,,,No,No,Prospect,5,5,3,13,,
B009,2026-06-22,P1,Frida Baby,Motherhood + Baby,,,,,,,,,Not contacted,,,0,"Motherhood problem-solver content with authentic daily-life use.",TikTok + Stories,,,,No,No,Prospect,5,4,4,13,,
B010,2026-06-22,P1,Babylist,Motherhood + Baby,,,,,,,,,Not contacted,,,0,"Baby product discovery and registry-style storytelling.",YouTube integration + Short-form,,,,No,No,Prospect,5,4,3,12,,
B011,2026-06-22,P1,Amazon Influencer,Affiliate + Home,,,,,,,,,Not contacted,,,0,"Creator storefront and real-life product picks.",Storefront + Shoppable content,,,,No,No,Prospect,5,4,5,14,,
B012,2026-06-22,P1,Target Creator / Target Partners,Retail + Lifestyle,,,,,,,,,Not contacted,,,0,"Family, beauty, home, and lifestyle product storytelling.",Affiliate + Short-form,,,,No,No,Prospect,5,5,3,13,,
B013,2026-06-22,P1,Walmart Creator,Retail + Lifestyle,,,,,,,,,Not contacted,,,0,"Everyday lifestyle and motherhood product content.",Affiliate + Short-form,,,,No,No,Prospect,4,5,3,12,,
B014,2026-06-22,P1,Ninja Kitchen,Home + Kitchen,,,,,,,,,Not contacted,,,0,"Cooking with Kash. Adaptive cooking and real kitchen use.",TikTok + YouTube integration,,,,No,No,Prospect,5,5,3,13,,
B015,2026-06-22,P1,NutriBullet,Home + Wellness,,,,,,,,,Not contacted,,,0,"Smoothie and wellness routine content.",TikTok + IG Reel,,,,No,No,Prospect,5,4,4,13,,
B016,2026-06-22,P1,Canva,Business + Creator Tools,,,,,,,,,Not contacted,,,0,"Creator workflow and business-building content.",TikTok + IG Reel + UGC,,,,No,No,Prospect,4,5,4,13,,
B017,2026-06-22,P1,Notion,Business + Creator Tools,,,,,,,,,Not contacted,,,0,"Creator planning, content workflow, and life organization.",Short-form + UGC,,,,No,No,Prospect,4,4,4,12,,
B018,2026-06-22,P1,Logitech,Tech + Creator Tools,,,,,,,,,Not contacted,,,0,"Workday content and creator setup.",TikTok + YouTube integration,,,,No,No,Prospect,4,5,3,12,,
B019,2026-06-22,P1,PopSockets,Accessibility + Lifestyle,,,,,,,,,Not contacted,,,0,"Phone use, daily-life utility, and adaptive lifestyle content.",Short-form + UGC,,,,No,No,Prospect,5,4,4,13,,
B020,2026-06-22,P1,Dove,Beauty + Confidence,,,,,,,,,Not contacted,,,0,"Confidence, body care, and real-life storytelling.",IG Reel + TikTok,,,,No,No,Prospect,5,5,3,13,,
